| name                                 | version | licenses     | repository                                                                                       | publisher               | url                              |
| ------------------------------------ | ------- | ------------ | ------------------------------------------------------------------------------------------------ | ----------------------- | -------------------------------- |
| algoliasearch                        | 4.10.5  | MIT          | https://github.com/algolia/algoliasearch-client-javascript                                       |                         |                                  |
| all-contributors-cli                 | 6.20.0  | MIT          | https://github.com/all-contributors/all-contributors-cli                                         | Jeroen Engels           |                                  |
| autoprefixer                         | 10.3.7  | MIT          | https://github.com/postcss/autoprefixer                                                          | Andrey Sitnik           |                                  |
| bluebird                             | 3.7.2   | MIT          | https://github.com/petkaantonov/bluebird                                                         | Petka Antonov           | http://github.com/petkaantonov/  |
| concurrently                         | 6.3.0   | MIT          | https://github.com/open-cli-tools/concurrently                                                   | Kimmo Brunfeldt         |                                  |
| critters                             | 0.0.10  | Apache-2.0   | https://github.com/GoogleChromeLabs/critters                                                     | The Chromium Authors    |                                  |
| csv                                  | 5.5.3   | MIT          | https://github.com/adaltas/node-csv                                                              | David Worms             | https://www.adaltas.com          |
| eslint-config-next                   | 11.1.2  | MIT          | https://github.com/vercel/next.js                                                                |                         |                                  |
| eslint-plugin-react-hooks            | 4.2.0   | MIT          | https://github.com/facebook/react                                                                |                         |                                  |
| eslint                               | 7.32.0  | MIT          | https://github.com/eslint/eslint                                                                 | Nicholas C. Zakas       |                                  |
| feed                                 | 4.2.2   | MIT          | https://github.com/jpmonette/feed                                                                | Jean-Philippe Monette   |                                  |
| gray-matter                          | 4.0.3   | MIT          | https://github.com/jonschlinkert/gray-matter                                                     | Jon Schlinkert          | https://github.com/jonschlinkert |
| hast-util-to-string                  | 2.0.0   | MIT          | https://github.com/rehypejs/rehype-minify/tree/main/packages/hast-util-to-string                 | Titus Wormer            | https://wooorm.com               |
| invariant                            | 2.2.4   | MIT          | https://github.com/zertosh/invariant                                                             | Andres Suarez           |                                  |
| js-yaml                              | 4.1.0   | MIT          | https://github.com/nodeca/js-yaml                                                                | Vladimir Zapparov       |                                  |
| license-checker                      | 25.0.1  | BSD-3-Clause | https://github.com/davglass/license-checker                                                      | Dav Glass               |                                  |
| memoizee                             | 0.4.15  | ISC          | https://github.com/medikoo/memoizee                                                              | Mariusz Nowak           | http://www.medikoo.com/          |
| netlify-cms-app                      | 2.15.49 | MIT          | https://github.com/netlify/netlify-cms/tree/master/packages/netlify-cms-app                      |                         |                                  |
| netlify-cms-media-library-cloudinary | 1.3.10  | MIT          | https://github.com/netlify/netlify-cms/tree/master/packages/netlify-cms-media-library-cloudinary |                         |                                  |
| netlify-cms-proxy-server             | 1.3.20  | MIT          | https://github.com/netlify/netlify-cms/tree/master/packages/netlify-cms-proxy-server             |                         |                                  |
| next-mdx-remote                      | 3.0.5   | MPL-2.0      | https://github.com/hashicorp/next-mdx-remote                                                     | Jeff Escalante          |                                  |
| next-sitemap                         | 1.6.179 | MIT          | https://github.com/iamvishnusankar/next-sitemap                                                  | Vishnu Sankar           | @iamvishnusankar                 |
| next-transpile-modules               | 8.0.0   | MIT          | https://github.com/martpie/next-transpile-modules                                                | Pierre de la Martinière |                                  |
| next                                 | 11.1.2  | MIT          | https://github.com/vercel/next.js                                                                |                         |                                  |
| node-fetch                           | 2.6.1   | MIT          | https://github.com/bitinn/node-fetch                                                             | David Frank             |                                  |
| octokit                              | 1.7.0   | MIT          | https://github.com/octokit/octokit.js                                                            |                         |                                  |
| oembed-parser                        | 1.4.8   | MIT          | https://github.com/ndaidong/oembed-parser                                                        | @ndaidong               |                                  |
| plaiceholder                         | 2.0.1   | Apache-2.0   | https://github.com/joe-bell/plaiceholder                                                         | Joe Bell                |                                  |
| polish-plurals                       | 1.1.0   | ISC          | https://github.com/mmiszy/polish-plurals                                                         | Michał Miszczyszyn      |                                  |
| postcss-import                       | 14.0.2  | MIT          | https://github.com/postcss/postcss-import                                                        | Maxime Thirouin         |                                  |
| postcss-nesting                      | 8.0.1   | CC0-1.0      | https://github.com/csstools/postcss-nesting                                                      | Jonathan Neal           |                                  |
| postcss                              | 8.3.9   | MIT          | https://github.com/postcss/postcss                                                               | Andrey Sitnik           |                                  |
| prettier-plugin-tailwind             | 2.2.12  | MIT          | https://github.com/Acidic9/prettier-plugin-tailwind                                              | Ari Seyhun              |                                  |
| prettier                             | 2.4.1   | MIT          | https://github.com/prettier/prettier                                                             | James Long              |                                  |
| proxyquire                           | 2.1.3   | MIT          | https://github.com/thlorenz/proxyquire                                                           | Thorsten Lorenz         |                                  |
| react-dom                            | 17.0.2  | MIT          | https://github.com/facebook/react                                                                |                         |                                  |
| react-instantsearch-dom              | 6.12.1  | MIT          | https://github.com/algolia/react-instantsearch                                                   | Algolia, Inc.           | https://www.algolia.com          |
| react                                | 17.0.2  | MIT          | https://github.com/facebook/react                                                                |                         |                                  |
| recharts                             | 2.1.4   | MIT          | https://github.com/recharts/recharts                                                             | recharts group          |                                  |
| rehype-autolink-headings             | 6.1.0   | MIT          | https://github.com/rehypejs/rehype-autolink-headings                                             | Titus Wormer            | https://wooorm.com               |
| rehype-katex                         | 6.0.1   | MIT          | https://github.com/remarkjs/remark-math/tree/main/packages/rehype-katex                          | Junyoung Choi           | https://rokt33r.github.io        |
| rehype-raw                           | 6.1.0   | MIT          | https://github.com/rehypejs/rehype-raw                                                           | Titus Wormer            | https://wooorm.com               |
| rehype-slug                          | 5.0.0   | MIT          | https://github.com/rehypejs/rehype-slug                                                          | Titus Wormer            | https://wooorm.com               |
| rehype-stringify                     | 9.0.2   | MIT          | https://github.com/rehypejs/rehype/tree/main/packages/rehype-stringify                           | Titus Wormer            | https://wooorm.com               |
| remark-footnotes                     | 4.0.1   | MIT          | https://github.com/remarkjs/remark-footnotes                                                     | Titus Wormer            | https://wooorm.com               |
| remark-frontmatter                   | 4.0.0   | MIT          | https://github.com/remarkjs/remark-frontmatter                                                   | Titus Wormer            | https://wooorm.com               |
| remark-gfm                           | 1.0.0   | MIT          | https://github.com/remarkjs/remark-gfm                                                           | Titus Wormer            | https://wooorm.com               |
| remark-math                          | 5.1.0   | MIT          | https://github.com/remarkjs/remark-math/tree/main/packages/remark-math                           | Junyoung Choi           | https://rokt33r.github.io        |
| remark-parse                         | 10.0.0  | MIT          | https://github.com/remarkjs/remark/tree/main/packages/remark-parse                               | Titus Wormer            | https://wooorm.com               |
| remark-rehype                        | 9.0.0   | MIT          | https://github.com/remarkjs/remark-rehype                                                        | Titus Wormer            | https://wooorm.com               |
| remark-stringify                     | 10.0.0  | MIT          | https://github.com/remarkjs/remark/tree/main/packages/remark-stringify                           | Titus Wormer            | https://wooorm.com               |
| sass                                 | 1.42.1  | MIT          | https://github.com/sass/dart-sass                                                                | Natalie Weizenbaum      | https://github.com/nex3          |
| sharp                                | 0.29.1  | Apache-2.0   | https://github.com/lovell/sharp                                                                  | Lovell Fuller           |                                  |
| slugify                              | 1.6.1   | MIT          | https://github.com/simov/slugify                                                                 | Simeon Velichkov        | https://simov.github.io          |
| svgo                                 | 2.7.0   | MIT          | https://github.com/svg/svgo                                                                      | Kir Belevich            | https://github.com/deepsweet     |
| tailwindcss                          | 2.2.16  | MIT          | https://github.com/tailwindlabs/tailwindcss                                                      |                         |                                  |
| terser                               | 5.9.0   | BSD-2-Clause | https://github.com/terser/terser                                                                 | Mihai Bazon             | http://lisperator.net/           |
